SiteID,OperatorName,Latitude,Longitude
THR_KD0288,Three,53.142438322200,-7.014924880200
THR_LK0001,Three,52.660449413800,-8.625635747500
THR_LK0002,Three,52.663791562500,-8.629156779400
THR_LK0004,Three,52.657967990900,-8.634319415700
THR_LK0006,Three,52.650944112700,-8.633700661400
THR_LK0007,Three,52.670465919300,-8.631292536900
THR_LK0009,Three,52.655279506700,-8.651200339400
THR_LK0010,Three,52.669448598300,-8.653214234500
THR_LK0013,Three,52.682837183900,-8.577130624500
THR_LK0016,Three,52.661417947400,-8.619161513500
THR_LK0019,Three,52.648917761500,-8.605318165600
THR_LK0020,Three,52.628425599400,-8.661494019000
THR_LK0028,Three,52.663322270000,-8.622735584100
THR_LK0029,Three,52.664679801800,-8.565185617600
THR_LK0032,Three,52.618010372500,-8.648521418000
THR_LK0033,Three,52.663403280500,-8.596487625500
THR_LK0034,Three,52.652034428500,-8.584113221000
THR_LK0042,Three,52.662883699500,-8.533918244900
THR_LK0047,Three,52.674913326500,-8.643139270100
THR_LK0150,Three,52.673592412400,-8.571154737700
THR_LK0153,Three,52.650241970100,-8.666698928000
THR_LK0157,Three,52.666147570700,-8.625451025900
THR_LK0158,Three,52.621940817200,-8.656051051700
THR_LK0159,Three,52.662085340100,-8.628940104000
THR_LK0160,Three,52.657078227500,-8.641030424500
THR_LK0170,Three,52.634333533300,-8.641141257400
THR_LK0172,Three,52.661471369900,-8.507653258000
THR_LK0174,Three,52.637689851400,-8.590096642200
THR_LK0181,Three,52.650639379400,-8.614768732000
THR_LK0183,Three,52.669395456500,-8.616125610700
THR_LK0184,Three,52.639540602400,-8.547076484300
THR_LK0186,Three,52.682048123600,-8.614366584400
THR_LK0187,Three,52.628830760700,-8.651620162800
THR_LK0190,Three,52.669210511400,-8.624001757800
THR_LK0191,Three,52.659073323800,-8.630951145800
THR_LK0192,Three,52.665280227200,-8.621211436200
THR_LK0194,Three,52.680153443800,-8.652797235800
THR_LK0195,Three,52.722068578200,-8.478564408400
THR_LK0209,Three,52.634936187500,-8.652567468300
THR_LK0211,Three,52.647455687800,-8.585086470100
THR_LK0212,Three,52.664820302500,-8.552535442800
THR_LK0217,Three,52.666238527800,-8.632029813300
THR_LK0218,Three,52.673208857300,-8.549640241200
THR_LK0219,Three,52.657117801700,-8.618347128500
THR_LK0225,Three,52.658792494300,-8.605528360900
THR_LK0226,Three,52.624938515200,-8.573593039800
THR_LK0230,Three,52.664556146100,-8.625620472500
THR_LK0232,Three,52.652457517700,-8.554005102500
THR_LX0003,Three,53.030612825600,-7.308323630100
THR_LX0020,Three,53.034773931600,-7.293171486100
THR_LX0022,Three,53.106143434000,-7.222107759900
THR_LX0042,Three,52.914084296700,-7.489009429000
THR_LX0060,Three,53.126692330400,-7.094878327400
THR_LX0074,Three,53.065524610900,-7.272619140500
THR_LX0084,Three,52.922641667800,-7.591928376800
THR_LX0085,Three,52.990814581300,-7.464858232300
THR_LX0088,Three,53.054418144900,-7.189216275400
THR_LX0094,Three,53.022304118300,-7.298114387300
THR_LX0095,Three,53.105841141400,-7.141558849100
THR_LX0098,Three,52.998594219400,-7.413064726900
THR_LX0099,Three,53.037461814200,-7.273986217800
THR_LX0106,Three,53.046449442100,-7.316777799900
THR_LX0111,Three,52.962639605100,-7.467766102000
THR_LX0116,Three,53.008967832300,-7.252177673600
THR_LX0122,Three,53.144162718900,-7.143768529600
THR_LX0136,Three,53.033660829300,-7.319543960000
THR_TP0016,Three,52.777006596300,-8.331710312000
THR_TP0021,Three,52.841339134100,-8.016760327600
THR_TP0076,Three,52.927538778100,-7.798241455000
THR_TP0078,Three,52.764023624800,-8.393000037100
THR_TP0131,Three,52.959305351700,-7.794388101800
THR_TP0144,Three,52.916388309000,-7.719074214800
THR_TP0165,Three,52.905611855200,-8.116864878100
THR_TP0167,Three,52.949925648700,-7.795117018800
THR_TP0169,Three,52.845059853300,-8.202040170900
THR_TP0173,Three,52.861731676100,-8.194708792100
THR_TP0174,Three,52.958686637500,-7.757041818900
THR_TP0175,Three,52.958821380000,-7.757041074100
THR_TP0176,Three,52.958784601800,-7.756609751400
THR_TP0178,Three,52.862717495900,-8.216984187900
THR_TP0181,Three,52.864140597000,-8.199678702500
THR_TP0220,Three,52.843503671300,-8.286046532500
THR_TP0221,Three,52.909174661500,-7.855312371600
THR_TP0225,Three,52.871797834100,-7.944762216100
